,blackHoleAccretionRate,blackHoleEddingtonRatio,redshift_x,galaxy_id,blackHoleMass,index,htmid_8,magNorm,redshift_y,M_i,ra,dec,seed,agn_sf_u,agn_sf_g,agn_sf_r,agn_sf_i,agn_sf_z,agn_sf_y,agn_tau_u,agn_tau_g,agn_tau_r,agn_tau_i,agn_tau_z,agn_tau_y
10,27038950.804127067,0.006624499627475325,0.5743716113401338,1875518848,185529970.18399942,10,147174,23.075644347495885,0.5743716113401338,-19.840545032484375,53.13207643005481,-27.575213567247133,9078810.0,0.7165,0.6298,0.5565,0.5069,0.4734,0.4488,588.4,615.1,641.9,662.8,678.6,691.2
11,7632806.004291652,0.0018406205947952778,0.5653516492496393,1875519165,188493885.40411898,11,147048,24.58275669023716,0.5653516492496393,-18.283341227509233,52.608802267401785,-27.952856398218334,1760487.0,1.098,0.9657,0.854,0.7784,0.7272,0.6897,77.6,81.19,84.79,87.62,89.75,91.44
12,388605.9873818447,0.001227765982369908,0.5688969687923491,1875525303,14387032.032978008,12,147048,27.906225852747603,0.5688969687923491,-14.973598755566567,52.55157795978513,-27.945474986574006,8610754.0,1.845,1.619,1.428,1.299,1.212,1.148,320.6,333.1,345.7,355.4,362.7,368.5
13,2334097.992557047,0.00259995491289771,0.5674351638973938,1875532620,40806616.596209295,13,147049,25.838680621629354,0.5674351638973938,-17.035495928057074,52.69631801186491,-27.597946834080346,8170594.0,1.406,1.238,1.095,0.9987,0.9334,0.8855,82.3,86.17,90.05,93.1,95.4,97.23
14,6217340.484223597,0.0009378348654019534,0.615412132592819,1875617541,301339176.0876824,14,147174,25.194879586619244,0.615412132592819,-17.96713057131094,53.168402972470986,-27.542912037865083,1586132.0,1.632,1.437,1.272,1.16,1.084,1.029,148.3,155.1,162.1,167.5,171.5,174.8
15,5045854.623564313,0.001337379163509057,0.5882505964557494,1875621922,171497384.28856504,15,147049,25.21626140304119,0.5882505964557494,-17.787381882246287,52.74871726851892,-27.589394740097003,1576886.0,1.481,1.301,1.149,1.046,0.9763,0.9254,90.4,93.98,97.54,100.3,102.4,104.1
16,1668328.3380607944,0.0018380149895650313,0.6045599820485474,1875626270,41258154.42530023,16,147048,26.463339412350866,0.6045599820485474,-16.621139427822566,52.678713161974684,-27.92752310912812,9970737.0,1.794,1.578,1.395,1.271,1.187,1.126,170.1,178.3,186.5,193.0,197.9,201.7
17,3871744.8243468357,0.005346845734979694,0.6053242535346177,1875626896,32914434.010193627,17,147048,25.40429649319379,0.6053242535346177,-17.687031840329187,52.52628686519228,-27.879105655487805,818.0,1.247,1.096,0.9678,0.8813,0.8229,0.7801,141.7,149.3,157.0,163.1,167.7,171.4
18,1138754.3183312453,0.004118633292405453,0.5984231986581765,1875628001,12567654.425460301,18,147051,26.72495819000728,0.5984231986581765,-16.3138663498121,52.51149073654127,-27.68115459293237,5559787.0,1.192,1.049,0.929,0.8473,0.7921,0.7516,242.0,253.3,264.6,273.5,280.2,285.5
19,1700090.4319137137,0.001036699073454102,0.5906576292589703,1875628421,74541243.25276636,19,147174,26.45180777096762,0.5906576292589703,-16.56359637975809,53.080911932545234,-27.56394398716591,3369731.0,2.191,1.926,1.702,1.55,1.448,1.373,173.0,180.6,188.2,194.1,198.5,202.1
20,3792468.236886118,0.0007514607923182007,0.6035453467124086,1875628818,229399752.616055,20,147174,25.678770256200973,0.6035453467124086,-17.396609126342486,53.02469284242228,-27.663391257195617,5434761.0,1.493,1.309,1.154,1.05,0.979,0.9273,96.77,101.9,107.2,111.3,114.4,116.9
21,566586.7873569803,0.002156322370500472,0.6144383308504389,1875633343,11943457.635179741,21,147051,27.69424413022879,0.6144383308504389,-15.462586999731354,52.48627101781856,-27.775027591536972,6575879.0,1.446,1.27,1.122,1.022,0.9538,0.9042,147.3,153.6,159.8,164.7,168.4,171.3
22,1243013.7150462396,0.0026155018482284533,0.6116649640355263,1875634070,21602211.23508746,22,147174,26.794403765854476,0.6116649640355263,-16.347643059584907,52.95189382447956,-27.569074152806778,7395446.0,1.455,1.281,1.133,1.033,0.9659,0.9164,46.51,48.48,50.46,52.0,53.16,54.08
23,1667943.313000323,0.00105018519256187,0.6151227789252489,1875634096,72192605.33604579,23,147049,26.615976497431053,0.6151227789252489,-16.544495429587805,52.8080016861483,-27.66051381588756,3712639.0,2.148,1.89,1.671,1.523,1.423,1.349,494.9,518.6,542.4,561.0,575.1,586.3
24,10003368.853777235,0.001313450078954678,0.5836875116783935,1875635634,346186422.7260757,24,147048,24.445189333640734,0.5836875116783935,-18.532897910424172,52.492613127277394,-28.0415517886874,3644617.0,1.307,1.148,1.014,0.9229,0.8616,0.8167,136.3,141.8,147.3,151.5,154.7,157.3
25,1509248.3094354577,0.004664788028391827,0.5856670638244905,1875635876,14706390.829741588,25,147048,26.350466662234023,0.5856670638244905,-16.63872581324831,52.71648261656956,-27.85573990662603,4201279.0,0.9638,0.8475,0.7493,0.6828,0.6378,0.6048,281.0,295.6,310.4,321.9,330.7,337.7
26,78809020.17883387,0.0061560328413413305,0.6361765257279033,1875736230,581905308.5438815,26,147051,22.25740239614421,0.6361765257279033,-20.999739936756946,52.526245948842266,-27.61766640571948,4271942.0,0.6595,0.5781,0.5096,0.4633,0.4321,0.4092,183.8,192.1,200.4,206.9,211.8,215.7
27,1147520.6661974138,0.0017351151511144894,0.639272270709196,1875739570,30061422.867639355,27,147051,27.065872519396216,0.639272270709196,-16.20426638430199,52.55713574677987,-27.623851020553758,7971959.0,1.825,1.6,1.411,1.283,1.197,1.134,54.32,56.61,58.9,60.69,62.03,63.1
28,547865.2563093309,0.0010956701536582437,0.644267949960454,1875740214,22728524.74143993,28,147051,27.960407369390794,0.644267949960454,-15.333458610553816,52.497869117138286,-27.79957717758331,4720115.0,2.568,2.257,1.994,1.816,1.696,1.608,214.3,225.4,236.6,245.4,252.1,257.4
29,5691519.687820282,0.0013860115709858679,0.6473859985222246,1875740998,186654603.5914048,29,147048,25.385042823131773,0.6473859985222246,-17.92386173930559,52.65561612002947,-27.981491052432734,1489730.0,1.631,1.435,1.27,1.158,1.082,1.026,271.0,283.4,295.9,305.7,313.1,318.9
30,2342648.2138456344,0.001025886423885325,0.6431716227842088,1875741010,103797074.64786476,30,147174,26.375991725310488,0.6431716227842088,-16.912572577206628,52.97246643778791,-27.53669105645387,7334714.0,1.705,1.498,1.323,1.205,1.125,1.066,228.9,239.3,249.6,257.8,263.9,268.8
31,5184826.1192159,0.010309412543381422,0.6215734992732926,1875741255,22860072.14456801,31,147048,25.097582696641997,0.6215734992732926,-18.09582075466347,52.49103412117431,-28.139162438197953,2818610.0,1.349,1.187,1.049,0.9564,0.8936,0.8476,166.1,174.0,181.9,188.1,192.7,196.5
32,1233914.3748285056,0.003648576865990394,0.646439650759264,1875753223,15372299.693194132,32,147174,26.91930147442845,0.646439650759264,-16.38504499353419,52.978825787211875,-27.720020476677146,8223134.0,1.607,1.413,1.25,1.139,1.064,1.009,54.92,57.46,60.01,62.01,63.52,64.71
33,10497550.532960607,0.0022748798023087087,0.6847537609744907,1875859021,209752351.47702694,33,147051,24.673220342209024,0.6847537609744907,-18.66056652977818,52.72508060228353,-27.841485455250716,3263377.0,1.251,1.101,0.9736,0.8874,0.8291,0.7864,366.1,384.6,403.2,417.8,428.9,437.7
34,6939021.453990277,0.0010198750091873574,0.6611726455364104,1875859473,309263452.1379123,34,147048,25.24033903314249,0.6611726455364104,-18.098604642204194,52.617101304663144,-27.966788954507336,2148131.0,1.305,1.147,1.013,0.9226,0.8615,0.8167,210.2,219.9,229.5,237.1,242.8,247.4
35,818345.8429743475,0.001750191469680583,0.6904513961695367,1875862566,21253410.818991423,35,147051,27.51640490004853,0.6904513961695367,-15.835942110642598,52.48045755679233,-27.806931528693028,7819986.0,1.81,1.592,1.408,1.283,1.199,1.137,431.5,454.0,476.7,494.5,508.0,518.8
36,3853746.546384098,0.0014305576243987834,0.6694469613662652,1875864365,122448962.9605322,36,147174,25.823708376699727,0.6694469613662652,-17.501995352627915,52.880448865979844,-27.777414396780415,5797537.0,1.549,1.363,1.206,1.099,1.027,0.9741,213.4,225.0,236.7,246.0,253.0,258.6
37,10340474.328786826,0.008105678241663913,0.6681284431052557,1875869475,57986703.44246435,37,147048,24.51033171019762,0.6681284431052557,-18.817507992563794,52.57051661768407,-27.904728040638844,4173058.0,0.9297,0.8166,0.7211,0.6565,0.6128,0.5809,91.59,96.78,102.0,106.2,109.3,111.9
38,2818609.0063118194,0.0011940483891498383,0.684433545193776,1875874492,107297654.23259954,38,147051,26.19731688562143,0.684433545193776,-17.135447122980718,52.72092609950731,-27.798137291009255,6181445.0,1.329,1.169,1.034,0.9418,0.8798,0.8344,303.0,315.4,327.7,337.3,344.5,350.2
39,5986720.242487336,0.0011538826584136757,0.6699080388941763,1875876130,235833033.2825139,39,147048,25.37084194925852,0.6699080388941763,-17.95411252046728,52.5633811878025,-27.9376482834527,142378.0,1.462,1.287,1.139,1.039,0.9708,0.921,602.8,636.7,671.0,698.1,718.7,735.1
40,963756.7246367029,0.0015735984022173335,0.6689687804328275,1875877213,27838820.74701837,40,147174,27.32629401332204,0.6689687804328275,-16.000185498324367,52.879678621370495,-27.716660506637837,9078274.0,1.5,1.314,1.157,1.051,0.98,0.9278,297.9,312.9,328.0,339.8,348.8,355.9
41,1577497.0319488042,0.0011920880103383474,0.7308877485227532,1875991550,60150265.68615163,41,147049,27.007478293540462,0.7308877485227532,-16.50085795563216,52.767458461182095,-27.668822159772063,4465863.0,1.981,1.743,1.542,1.405,1.313,1.246,179.9,189.4,199.0,206.5,212.2,216.8
42,4784569.66857593,0.002165368494749545,0.6946601066830922,1875992144,100435764.17042068,42,147051,25.574797158424357,0.6946601066830922,-17.79503539400904,52.676112092517805,-27.690448942025554,6606476.0,1.231,1.082,0.957,0.8721,0.8148,0.7727,144.6,151.5,158.5,164.0,168.1,171.4
43,6540379.789206569,0.0038940053160316894,0.7359216067843657,1875995949,76345553.30331272,43,147049,25.294428826341893,0.7359216067843657,-18.216791470610257,52.608159120844626,-27.547330081263013,2124380.0,0.935,0.8236,0.7294,0.6655,0.6222,0.5905,97.28,102.5,107.8,111.9,115.1,117.6
44,7058667.96370109,0.0024414323673609115,0.7292401821494299,1875997658,131418157.67414403,44,147174,25.270814546906063,0.7292401821494299,-18.23642554056905,53.08018544715009,-27.59522766510913,999542.0,1.163,1.022,0.9027,0.8221,0.7677,0.7278,64.36,67.61,70.88,73.45,75.39,76.94
45,10418666.787249008,0.0013771205566738287,0.720411813741159,1875999971,343888384.18083364,45,147048,24.916536375769887,0.720411813741159,-18.583817586816558,52.59696917604252,-27.91529494864115,7486484.0,1.255,1.106,0.9793,0.8934,0.8354,0.7928,189.5,197.4,205.4,211.6,216.3,220.0
